method,MAE,MAPE,WAPE,SLA_violation,Over_provisioning,Scaling_actions
KNN (Sliding Window),,,,13.714504011205907,50.51527971943316,1105
Persistence (last value),5693.593276454858,83.41387297361169,55.686262963756725,22.89570864637718,53.610363094289774,3618
EWMA (naive),4938.666683097518,79.07719194097047,48.302693615753405,15.369922322679232,55.642293623329714,233
Holt-Winters,4931.462564855986,80.98305721605882,48.23223364375664,12.377435375015917,60.86950142872956,218
ARIMA,4937.579359917294,80.3958863455281,48.29205903727185,15.166178530497898,59.3400449099037,220
