model,MAE,MAPE,WAPE
KNN only,4109.326542815327,62.403275810018314,40.191321605895176
EWA regression,1493.3206290331707,17.019926521531467,14.60544180095037
Naive-LAST,5693.593276454858,83.41387297361183,55.68626296375673
MovingAverage-30,4938.6666830974955,79.0771919409701,48.302693615753185
HoltWinters(trend=add),4931.462564855887,80.9830572160599,48.232233643755684
"SARIMA(1,1,1)",4937.579359917234,80.39588634552818,48.29205903727126
